<number of tasks>
148
<number of stations>
10
<order strength>
0.000
<type of the robots>
1
<upper bound>
0
<robot flexibility>
0.40
<collaboration flexibility>
0.40
<number of robots>
4
<task times>
1 16 10000 10000
2 30 10000 21
3 7 14 5
4 47 94 33
5 29 10000 21
6 8 10000 6
7 39 78 10000
8 37 10000 10000
9 32 64 23
10 29 10000 10000
11 17 10000 10000
12 11 10000 10000
13 32 10000 23
14 15 10000 11
15 53 10000 38
16 53 10000 38
17 8 10000 6
18 24 10000 17
19 24 10000 10000
20 8 16 10000
21 7 10000 5
22 8 10000 6
23 14 10000 10000
24 13 10000 10
25 10 10000 7
26 25 50 10000
27 11 22 10000
28 25 50 18
29 11 10000 8
30 29 58 21
31 25 10000 18
32 10 10000 10000
33 14 10000 10000
34 41 10000 29
35 42 10000 30
36 47 94 33
37 7 10000 10000
38 80 160 56
39 7 14 10000
40 41 10000 10000
41 47 10000 10000
42 16 10000 10000
43 32 10000 10000
44 66 132 47
45 80 10000 10000
46 7 10000 5
47 41 82 29
48 13 26 10000
49 47 10000 10000
50 33 66 24
51 34 10000 10000
52 11 10000 10000
53 118 10000 83
54 25 10000 10000
55 7 10000 5
56 28 56 20
57 12 24 10000
58 52 104 10000
59 14 28 10000
60 3 10000 10000
61 3 6 10000
62 8 10000 10000
63 16 10000 10000
64 33 10000 24
65 8 10000 6
66 18 10000 10000
67 10 10000 7
68 14 10000 10000
69 28 56 20
70 11 22 10000
71 118 10000 83
72 25 10000 10000
73 40 10000 28
74 40 10000 28
75 101 202 10000
76 5 10000 4
77 28 56 20
78 8 16 10000
79 111 222 10000
80 7 10000 10000
81 26 10000 10000
82 10 20 7
83 21 10000 10000
84 26 10000 10000
85 20 10000 10000
86 21 10000 10000
87 47 94 10000
88 23 46 17
89 13 26 10000
90 19 10000 10000
91 115 230 81
92 35 10000 25
93 26 52 10000
94 46 10000 10000
95 20 10000 10000
96 31 10000 10000
97 19 10000 10000
98 34 10000 10000
99 51 10000 36
100 39 10000 10000
101 30 10000 21
102 26 10000 19
103 13 10000 10000
104 45 10000 32
105 58 116 41
106 28 10000 10000
107 8 10000 6
108 43 10000 10000
109 40 10000 10000
110 34 68 10000
111 23 10000 10000
112 162 10000 114
113 11 10000 10000
114 19 10000 10000
115 14 28 10000
116 31 62 22
117 32 64 23
118 26 10000 10000
119 55 110 10000
120 31 10000 22
121 32 10000 23
122 26 52 10000
123 19 38 14
124 14 28 10
125 19 10000 10000
126 48 96 34
127 55 10000 10000
128 8 10000 6
129 11 10000 8
130 27 10000 19
131 18 10000 10000
132 36 10000 26
133 23 10000 17
134 20 10000 10000
135 46 10000 10000
136 64 10000 10000
137 22 44 10000
138 15 30 10000
139 34 68 24
140 22 10000 16
141 151 302 10000
142 148 10000 10000
143 64 10000 45
144 170 340 10000
145 137 10000 10000
146 64 10000 10000
147 78 156 10000
148 78 10000 10000
<task directions>
1 E
2 E
3 E
4 E
5 E
6 E
7 E
8 E
9 E
10 E
11 E
12 E
13 E
14 E
15 L
16 R
17 E
18 L
19 R
20 E
21 R
22 L
23 L
24 R
25 R
26 R
27 L
28 L
29 E
30 R
31 E
32 L
33 R
34 L
35 R
36 R
37 R
38 R
39 R
40 R
41 R
42 L
43 L
44 L
45 L
46 L
47 L
48 E
49 L
50 E
51 L
52 L
53 L
54 L
55 R
56 E
57 L
58 L
59 E
60 E
61 E
62 E
63 E
64 R
65 E
66 E
67 E
68 E
69 R
70 R
71 R
72 R
73 E
74 E
75 E
76 E
77 E
78 E
79 E
80 E
81 E
82 E
83 E
84 E
85 E
86 E
87 E
88 E
89 E
90 E
91 E
92 E
93 L
94 E
95 E
96 E
97 E
98 E
99 E
100 E
101 E
102 E
103 E
104 E
105 E
106 E
107 E
108 E
109 E
110 E
111 E
112 L
113 L
114 E
115 E
116 E
117 E
118 E
119 E
120 E
121 E
122 E
123 E
124 E
125 E
126 E
127 E
128 L
129 L
130 L
131 L
132 E
133 L
134 R
135 E
136 E
137 L
138 E
139 E
140 E
141 L
142 R
143 L
144 L
145 R
146 R
147 L
148 R
<precedence relations>
1,5
1,6
1,7
1,8
2,3
3,4
3,5
3,6
3,7
4,8
5,14
6,9
7,14
8,10
9,14
10,14
11,12
12,13
14,15
14,16
15,17
16,17
17,18
17,19
18,20
19,20
20,21
20,22
20,23
20,24
21,25
21,26
21,27
21,28
22,25
22,26
22,27
22,28
23,25
23,26
23,27
23,28
24,25
24,26
24,27
24,28
25,29
26,29
27,29
28,29
29,31
31,36
32,34
33,35
34,36
35,36
36,37
37,38
37,45
38,39
39,40
40,41
40,48
40,55
42,43
43,44
45,46
46,47
47,48
47,49
47,55
50,51
51,53
51,69
52,53
54,133
55,54
55,72
55,76
55,87
55,88
56,73
57,79
58,84
58,86
59,75
59,87
61,62
62,63
63,67
64,65
64,71
64,72
65,66
65,99
66,67
67,68
68,95
68,98
69,82
70,71
72,134
73,84
73,86
73,87
73,88
73,96
74,75
75,88
75,97
76,77
77,78
78,79
79,80
80,81
81,106
82,83
82,89
82,143
82,146
84,85
88,111
89,90
90,79
91,105
92,135
95,101
96,104
98,101
99,100
100,101
101,102
101,103
102,127
103,127
105,119
106,107
107,108
108,109
109,110
111,112
112,113
113,114
113,116
113,120
113,123
113,128
114,115
115,125
116,117
117,118
118,126
120,121
121,122
122,126
123,124
124,125
128,129
129,130
130,131
130,137
132,135
133,135
134,135
135,136
138,139
139,140
141,142
142,143
142,146
142,147
142,148
144,145
145,147
145,148
<end>
